state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed
AK,2020-12-06,17,0
AL,2020-12-06,267,4
AR,2020-12-06,119,3
AZ,2020-12-06,264,0
CA,2020-12-06,1369,10
CO,2020-12-06,233,4
CT,2020-12-06,142,3
DC,2020-12-06,19,3
DE,2020-12-06,59,14
FL,2020-12-06,594,12
GA,2020-12-06,427,9
HI,2020-12-06,2,0
IA,2020-12-06,94,1
ID,2020-12-06,62,2
IL,2020-12-06,445,8
IN,2020-12-06,359,2
KS,2020-12-06,151,1
KY,2020-12-06,392,2
LA,2020-12-06,182,3
MA,2020-12-06,185,2
MD,2020-12-06,196,0
ME,2020-12-06,13,0
MI,2020-12-06,395,8
MN,2020-12-06,150,4
MO,2020-12-06,277,4
MS,2020-12-06,140,2
MT,2020-12-06,42,1
NC,2020-12-06,291,5
ND,2020-12-06,31,1
NE,2020-12-06,66,1
NH,2020-12-06,32,0
NJ,2020-12-06,427,3
NM,2020-12-06,134,3
NV,2020-12-06,154,3
NY,2020-12-06,858,8
OH,2020-12-06,632,10
OK,2020-12-06,293,5
OR,2020-12-06,45,0
PA,2020-12-06,673,2
PR,2020-12-06,21,0
RI,2020-12-06,30,2
SC,2020-12-06,130,0
SD,2020-12-06,41,1
TN,2020-12-06,264,0
TX,2020-12-06,1079,21
UT,2020-12-06,86,7
VA,2020-12-06,181,7
VI,2020-12-06,0,0
VT,2020-12-06,3,0
WA,2020-12-06,103,0
WI,2020-12-06,288,2
WV,2020-12-06,55,0
WY,2020-12-06,32,0
AK,2020-12-05,17,0
AL,2020-12-05,295,0
AR,2020-12-05,129,2
AZ,2020-12-05,279,0
CA,2020-12-05,1448,14
CO,2020-12-05,241,5
CT,2020-12-05,143,3
DC,2020-12-05,23,2
DE,2020-12-05,56,19
FL,2020-12-05,703,12
GA,2020-12-05,489,10
HI,2020-12-05,5,0
IA,2020-12-05,146,1
ID,2020-12-05,60,2
IL,2020-12-05,521,6
IN,2020-12-05,392,3
KS,2020-12-05,167,2
KY,2020-12-05,444,4
LA,2020-12-05,213,3
