state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed
IL,2020-11-24,655,3
IN,2020-11-24,387,7
KS,2020-11-24,185,0
KY,2020-11-24,402,2
LA,2020-11-24,181,3
MA,2020-11-24,125,0
MD,2020-11-24,227,3
ME,2020-11-24,21,0
MI,2020-11-24,624,5
MN,2020-11-24,241,6
MO,2020-11-24,324,2
MS,2020-11-24,143,4
MT,2020-11-24,75,2
NC,2020-11-24,249,4
ND,2020-11-24,51,0
NE,2020-11-24,105,0
NH,2020-11-24,17,1
NJ,2020-11-24,382,4
NM,2020-11-24,119,0
NV,2020-11-24,154,2
NY,2020-11-24,578,2
OH,2020-11-24,750,5
OK,2020-11-24,382,5
OR,2020-11-24,64,0
PA,2020-11-24,583,5
PR,2020-11-24,29,0
RI,2020-11-24,36,0
SC,2020-11-24,97,0
SD,2020-11-24,76,1
TN,2020-11-24,296,1
TX,2020-11-24,1157,19
UT,2020-11-24,95,2
VA,2020-11-24,169,2
VI,2020-11-24,0,0
VT,2020-11-24,5,0
WA,2020-11-24,124,0
WI,2020-11-24,476,6
WV,2020-11-24,82,1
WY,2020-11-24,45,0
AK,2020-11-23,17,0
AL,2020-11-23,178,1
AR,2020-11-23,106,0
AZ,2020-11-23,237,1
CA,2020-11-23,826,12
CO,2020-11-23,240,2
CT,2020-11-23,104,2
DC,2020-11-23,18,0
DE,2020-11-23,25,5
FL,2020-11-23,517,7
GA,2020-11-23,298,8
HI,2020-11-23,5,0
IA,2020-11-23,165,5
ID,2020-11-23,60,0
IL,2020-11-23,606,9
IN,2020-11-23,328,7
KS,2020-11-23,159,1
KY,2020-11-23,370,3
LA,2020-11-23,130,2
MA,2020-11-23,111,2
MD,2020-11-23,184,0
ME,2020-11-23,13,0
MI,2020-11-23,491,8
MN,2020-11-23,212,3
MO,2020-11-23,264,2
MS,2020-11-23,103,1
MT,2020-11-23,64,1
NC,2020-11-23,203,1
ND,2020-11-23,47,1
NE,2020-11-23,93,3
NH,2020-11-23,14,0
NJ,2020-11-23,305,2
NM,2020-11-23,120,1
NV,2020-11-23,142,2
NY,2020-11-23,472,4
OH,2020-11-23,596,8
OK,2020-11-23,298,5
OR,2020-11-23,48,1
PA,2020-11-23,534,5
PR,2020-11-23,26,1
RI,2020-11-23,20,0
SC,2020-11-23,74,0
SD,2020-11-23,56,2
TN,2020-11-23,250,4
TX,2020-11-23,1002,18
UT,2020-11-23,89,2
VA,2020-11-23,134,0
VI,2020-11-23,0,0
VT,2020-11-23,2,1
WA,2020-11-23,84,0
WI,2020-11-23,422,3
WV,2020-11-23,46,1
WY,2020-11-23,30,0
AK,2020-11-22,23,1
AL,2020-11-22,197,1
AR,2020-11-22,126,4
AZ,2020-11-22,272,2
CA,2020-11-22,797,14
CO,2020-11-22,221,0
CT,2020-11-22,87,0
DC,2020-11-22,12,2
DE,2020-11-22,14,4
FL,2020-11-22,547,4
GA,2020-11-22,357,7
HI,2020-11-22,2,0
IA,2020-11-22,140,0
ID,2020-11-22,58,0
IL,2020-11-22,531,2
IN,2020-11-22,355,8
KS,2020-11-22,161,2
KY,2020-11-22,326,2
LA,2020-11-22,140,2
MA,2020-11-22,122,1
MD,2020-11-22,195,1
ME,2020-11-22,12,0
MI,2020-11-22,375,3
MN,2020-11-22,196,3
MO,2020-11-22,285,2
MS,2020-11-22,114,2
MT,2020-11-22,79,0
NC,2020-11-22,202,2
ND,2020-11-22,43,0
NE,2020-11-22,109,3
NH,2020-11-22,13,0
NJ,2020-11-22,336,4
NM,2020-11-22,108,0
NV,2020-11-22,134,1
NY,2020-11-22,454,8
OH,2020-11-22,630,2
OK,2020-11-22,299,3
OR,2020-11-22,49,0
PA,2020-11-22,483,3
PR,2020-11-22,30,1
