state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed
RI,2020-11-22,16,0
SC,2020-11-22,101,0
SD,2020-11-22,50,0
TN,2020-11-22,248,2
TX,2020-11-22,1073,21
UT,2020-11-22,76,3
VA,2020-11-22,132,4
VI,2020-11-22,0,0
VT,2020-11-22,5,0
WA,2020-11-22,91,0
WI,2020-11-22,376,4
WV,2020-11-22,63,2
WY,2020-11-22,27,0
AK,2020-11-21,24,1
AL,2020-11-21,185,2
AR,2020-11-21,133,0
AZ,2020-11-21,244,0
CA,2020-11-21,788,14
CO,2020-11-21,273,2
CT,2020-11-21,74,1
DC,2020-11-21,26,0
DE,2020-11-21,34,4
FL,2020-11-21,497,7
GA,2020-11-21,397,6
HI,2020-11-21,6,0
IA,2020-11-21,188,2
ID,2020-11-21,41,0
IL,2020-11-21,636,5
IN,2020-11-21,358,6
KS,2020-11-21,207,1
KY,2020-11-21,358,1
LA,2020-11-21,141,2
MA,2020-11-21,132,8
MD,2020-11-21,166,4
ME,2020-11-21,7,0
MI,2020-11-21,475,7
MN,2020-11-21,205,5
MO,2020-11-21,336,6
MS,2020-11-21,129,1
MT,2020-11-21,86,3
NC,2020-11-21,225,2
ND,2020-11-21,50,1
NE,2020-11-21,108,2
NH,2020-11-21,12,0
NJ,2020-11-21,360,2
NM,2020-11-21,146,11
NV,2020-11-21,112,0
NY,2020-11-21,527,7
OH,2020-11-21,685,5
OK,2020-11-21,368,5
OR,2020-11-21,61,0
PA,2020-11-21,542,3
PR,2020-11-21,50,2
RI,2020-11-21,30,0
SC,2020-11-21,84,1
SD,2020-11-21,66,0
TN,2020-11-21,275,2
TX,2020-11-21,1268,29
UT,2020-11-21,81,1
VA,2020-11-21,135,2
VI,2020-11-21,1,0
VT,2020-11-21,4,0
WA,2020-11-21,99,0
WI,2020-11-21,424,3
WV,2020-11-21,76,1
WY,2020-11-21,43,0
AK,2020-11-20,21,2
AL,2020-11-20,192,0
AR,2020-11-20,130,3
AZ,2020-11-20,283,3
CA,2020-11-20,803,16
CO,2020-11-20,275,6
CT,2020-11-20,103,1
DC,2020-11-20,11,1
DE,2020-11-20,20,5
FL,2020-11-20,583,11
GA,2020-11-20,390,6
HI,2020-11-20,10,0
IA,2020-11-20,196,6
ID,2020-11-20,63,4
IL,2020-11-20,671,9
IN,2020-11-20,373,3
KS,2020-11-20,189,1
KY,2020-11-20,392,2
LA,2020-11-20,149,1
MA,2020-11-20,108,4
MD,2020-11-20,176,3
ME,2020-11-20,19,0
MI,2020-11-20,504,1
MN,2020-11-20,264,6
MO,2020-11-20,367,2
MS,2020-11-20,146,0
MT,2020-11-20,95,1
NC,2020-11-20,207,1
ND,2020-11-20,63,0
NE,2020-11-20,140,2
NH,2020-11-20,12,0
NJ,2020-11-20,333,3
NM,2020-11-20,118,1
NV,2020-11-20,128,1
NY,2020-11-20,493,7
OH,2020-11-20,648,7
OK,2020-11-20,364,5
OR,2020-11-20,40,0
PA,2020-11-20,516,2
PR,2020-11-20,52,1
RI,2020-11-20,24,1
SC,2020-11-20,82,1
SD,2020-11-20,72,1
TN,2020-11-20,277,0
TX,2020-11-20,1205,29
UT,2020-11-20,88,5
VA,2020-11-20,134,0
VI,2020-11-20,0,0
VT,2020-11-20,3,0
WA,2020-11-20,92,2
WI,2020-11-20,449,1
WV,2020-11-20,63,0
WY,2020-11-20,33,1
AK,2020-11-19,9,1
AL,2020-11-19,222,2
AR,2020-11-19,154,1
AZ,2020-11-19,243,3
CA,2020-11-19,707,12
CO,2020-11-19,301,2
CT,2020-11-19,95,1
DC,2020-11-19,16,2
DE,2020-11-19,18,3
FL,2020-11-19,523,9
GA,2020-11-19,406,3
HI,2020-11-19,5,0
IA,2020-11-19,214,6
ID,2020-11-19,65,0
IL,2020-11-19,676,6
IN,2020-11-19,337,5
KS,2020-11-19,159,1
KY,2020-11-19,338,1
LA,2020-11-19,161,2
MA,2020-11-19,129,2
MD,2020-11-19,183,2
ME,2020-11-19,16,0
MI,2020-11-19,453,0
MN,2020-11-19,269,5
MO,2020-11-19,351,0
MS,2020-11-19,126,4
MT,2020-11-19,91,2
NC,2020-11-19,217,2
ND,2020-11-19,69,0
NE,2020-11-19,145,4
NH,2020-11-19,13,1
NJ,2020-11-19,337,3
NM,2020-11-19,131,2
NV,2020-11-19,147,2
NY,2020-11-19,466,5
OH,2020-11-19,658,9
OK,2020-11-19,346,4
OR,2020-11-19,52,0
PA,2020-11-19,478,9
PR,2020-11-19,46,1
RI,2020-11-19,22,0
SC,2020-11-19,78,1
SD,2020-11-19,80,2
TN,2020-11-19,266,2
TX,2020-11-19,1236,21
UT,2020-11-19,120,2
VA,2020-11-19,139,2
VI,2020-11-19,0,0
VT,2020-11-19,3,0
WA,2020-11-19,107,0
WI,2020-11-19,473,3
WV,2020-11-19,55,0
WY,2020-11-19,41,2
AK,2020-11-18,13,0
AL,2020-11-18,198,4
AR,2020-11-18,138,1
AZ,2020-11-18,223,7
CA,2020-11-18,713,5
CO,2020-11-18,273,8
CT,2020-11-18,125,1
DC,2020-11-18,22,0
DE,2020-11-18,17,4
FL,2020-11-18,516,3
GA,2020-11-18,403,7
HI,2020-11-18,12,0
IA,2020-11-18,237,2
ID,2020-11-18,62,0
IL,2020-11-18,666,6
IN,2020-11-18,337,10
KS,2020-11-18,181,2
KY,2020-11-18,357,3
LA,2020-11-18,170,5
MA,2020-11-18,142,3
MD,2020-11-18,196,3
ME,2020-11-18,18,0
MI,2020-11-18,479,3
MN,2020-11-18,245,6
MO,2020-11-18,349,6
MS,2020-11-18,98,1
MT,2020-11-18,90,1
NC,2020-11-18,223,3
ND,2020-11-18,65,0
NE,2020-11-18,140,2
NH,2020-11-18,9,0
NJ,2020-11-18,316,2
NM,2020-11-18,119,2
NV,2020-11-18,135,1
NY,2020-11-18,448,4
OH,2020-11-18,600,9
OK,2020-11-18,338,4
OR,2020-11-18,69,0
PA,2020-11-18,463,4
PR,2020-11-18,41,1
RI,2020-11-18,36,0
SC,2020-11-18,84,1
SD,2020-11-18,64,0
TN,2020-11-18,264,0
TX,2020-11-18,1147,32
UT,2020-11-18,72,7
VA,2020-11-18,155,3
VI,2020-11-18,0,0
VT,2020-11-18,6,0
WA,2020-11-18,92,1
WI,2020-11-18,517,3
WV,2020-11-18,41,0
WY,2020-11-18,48,1
AK,2020-11-17,17,0
AL,2020-11-17,221,0
AR,2020-11-17,136,2
AZ,2020-11-17,224,4
CA,2020-11-17,685,3
CO,2020-11-17,278,4
CT,2020-11-17,122,0
DC,2020-11-17,27,2
DE,2020-11-17,16,3
FL,2020-11-17,583,10
GA,2020-11-17,335,6
HI,2020-11-17,9,0
IA,2020-11-17,237,2
ID,2020-11-17,51,0
IL,2020-11-17,676,4
IN,2020-11-17,352,10
KS,2020-11-17,182,3
KY,2020-11-17,363,2
LA,2020-11-17,130,1
MA,2020-11-17,145,2
MD,2020-11-17,196,2
ME,2020-11-17,17,0
MI,2020-11-17,480,4
MN,2020-11-17,232,4
MO,2020-11-17,395,4
MS,2020-11-17,124,1
MT,2020-11-17,85,1
NC,2020-11-17,220,2
ND,2020-11-17,60,2
NE,2020-11-17,144,4
NH,2020-11-17,18,0
NJ,2020-11-17,343,3
NM,2020-11-17,97,1
NV,2020-11-17,129,1
NY,2020-11-17,374,6
OH,2020-11-17,649,7
OK,2020-11-17,303,5
OR,2020-11-17,44,0
PA,2020-11-17,482,4
PR,2020-11-17,41,3
RI,2020-11-17,29,0
SC,2020-11-17,87,0
SD,2020-11-17,93,2
TN,2020-11-17,275,2
TX,2020-11-17,1257,25
UT,2020-11-17,111,0
VA,2020-11-17,143,2
VI,2020-11-17,0,0
VT,2020-11-17,2,0
WA,2020-11-17,76,0
WI,2020-11-17,511,8
WV,2020-11-17,51,0
WY,2020-11-17,37,2
AK,2020-11-16,19,0
AL,2020-11-16,162,1
AR,2020-11-16,116,1
AZ,2020-11-16,190,1
CA,2020-11-16,586,9
CO,2020-11-16,205,10
CT,2020-11-16,83,2
DC,2020-11-16,13,0
DE,2020-11-16,15,4
FL,2020-11-16,483,9
GA,2020-11-16,317,3
HI,2020-11-16,4,0
IA,2020-11-16,213,2
ID,2020-11-16,43,1
IL,2020-11-16,581,6
IN,2020-11-16,323,2
KS,2020-11-16,148,1
KY,2020-11-16,355,2
LA,2020-11-16,143,1
MA,2020-11-16,113,0
MD,2020-11-16,153,2
ME,2020-11-16,10,1
MI,2020-11-16,358,1
MN,2020-11-16,215,2
MO,2020-11-16,298,2
MS,2020-11-16,108,0
MT,2020-11-16,63,1
NC,2020-11-16,191,0
ND,2020-11-16,54,1
NE,2020-11-16,135,6
NH,2020-11-16,10,0
NJ,2020-11-16,286,0
NM,2020-11-16,112,1
NV,2020-11-16,194,1
NY,2020-11-16,311,5
OH,2020-11-16,516,2
OK,2020-11-16,255,7
OR,2020-11-16,40,1
PA,2020-11-16,415,6
PR,2020-11-16,29,6
RI,2020-11-16,21,0
SC,2020-11-16,81,1
SD,2020-11-16,55,0
TN,2020-11-16,230,1
TX,2020-11-16,1005,27
UT,2020-11-16,82,2
VA,2020-11-16,101,2
VI,2020-11-16,0,0
VT,2020-11-16,2,0
WA,2020-11-16,77,1
WI,2020-11-16,502,3
WV,2020-11-16,42,0
WY,2020-11-16,24,1
AK,2020-11-15,14,0
AL,2020-11-15,189,0
AR,2020-11-15,122,1
AZ,2020-11-15,192,4
CA,2020-11-15,567,4
CO,2020-11-15,212,5
CT,2020-11-15,85,1
DC,2020-11-15,13,1
DE,2020-11-15,14,4
FL,2020-11-15,420,6
GA,2020-11-15,296,6
HI,2020-11-15,11,1
IA,2020-11-15,252,6
ID,2020-11-15,49,2
IL,2020-11-15,591,8
IN,2020-11-15,380,8
KS,2020-11-15,182,0
KY,2020-11-15,352,2
LA,2020-11-15,102,1
MA,2020-11-15,91,0
MD,2020-11-15,146,1
ME,2020-11-15,13,1
MI,2020-11-15,364,1
MN,2020-11-15,213,2
MO,2020-11-15,308,6
MS,2020-11-15,88,1
MT,2020-11-15,80,2
NC,2020-11-15,153,4
ND,2020-11-15,58,0
NE,2020-11-15,116,4
NH,2020-11-15,13,0
NJ,2020-11-15,260,1
NM,2020-11-15,123,0
NV,2020-11-15,122,0
NY,2020-11-15,382,4
OH,2020-11-15,506,4
OK,2020-11-15,277,4
OR,2020-11-15,45,0
PA,2020-11-15,372,4
PR,2020-11-15,20,1
RI,2020-11-15,15,0
SC,2020-11-15,75,1
SD,2020-11-15,68,1
TN,2020-11-15,253,1
TX,2020-11-15,1051,16
UT,2020-11-15,69,1
VA,2020-11-15,98,3
VI,2020-11-15,0,0
VT,2020-11-15,0,0
WA,2020-11-15,53,0
WI,2020-11-15,472,2
WV,2020-11-15,44,0
WY,2020-11-15,19,3
AK,2020-11-14,27,1
AL,2020-11-14,180,1
AR,2020-11-14,118,1
AZ,2020-11-14,199,3
CA,2020-11-14,574,6
CO,2020-11-14,240,6
CT,2020-11-14,121,1
DC,2020-11-14,11,1
DE,2020-11-14,24,7
FL,2020-11-14,541,7
GA,2020-11-14,391,5
HI,2020-11-14,13,0
IA,2020-11-14,215,19
ID,2020-11-14,53,0
IL,2020-11-14,604,5
IN,2020-11-14,345,6
KS,2020-11-14,151,0
KY,2020-11-14,373,1
LA,2020-11-14,118,1
MA,2020-11-14,101,0
MD,2020-11-14,136,1
ME,2020-11-14,4,0
MI,2020-11-14,399,5
MN,2020-11-14,230,3
MO,2020-11-14,347,4
MS,2020-11-14,84,1
MT,2020-11-14,102,3
NC,2020-11-14,205,2
ND,2020-11-14,55,2
NE,2020-11-14,113,1
NH,2020-11-14,8,0
NJ,2020-11-14,244,2
NM,2020-11-14,122,1
NV,2020-11-14,118,4
NY,2020-11-14,400,3
OH,2020-11-14,533,8
OK,2020-11-14,272,2
OR,2020-11-14,58,0
PA,2020-11-14,349,6
PR,2020-11-14,40,0
RI,2020-11-14,14,0
SC,2020-11-14,81,0
SD,2020-11-14,64,2
TN,2020-11-14,237,1
TX,2020-11-14,1099,36
UT,2020-11-14,70,4
VA,2020-11-14,118,1
VI,2020-11-14,0,0
VT,2020-11-14,2,0
WA,2020-11-14,85,1
WI,2020-11-14,504,9
WV,2020-11-14,61,0
WY,2020-11-14,32,1
AK,2020-11-13,17,0
AL,2020-11-13,173,1
AR,2020-11-13,129,0
AZ,2020-11-13,171,4
CA,2020-11-13,536,9
CO,2020-11-13,205,6
CT,2020-11-13,96,0
DC,2020-11-13,11,1
DE,2020-11-13,19,5
FL,2020-11-13,530,5
GA,2020-11-13,370,7
HI,2020-11-13,10,0
IA,2020-11-13,220,3
ID,2020-11-13,43,1
IL,2020-11-13,602,5
IN,2020-11-13,359,9
KS,2020-11-13,150,0
KY,2020-11-13,368,0
LA,2020-11-13,114,1
MA,2020-11-13,111,3
MD,2020-11-13,160,4
ME,2020-11-13,5,0
MI,2020-11-13,439,5
MN,2020-11-13,223,5
MO,2020-11-13,326,7
MS,2020-11-13,73,0
MT,2020-11-13,91,2
NC,2020-11-13,186,2
ND,2020-11-13,58,2
NE,2020-11-13,121,1
NH,2020-11-13,19,0
NJ,2020-11-13,302,2
NM,2020-11-13,76,0
NV,2020-11-13,196,1
NY,2020-11-13,443,5
OH,2020-11-13,484,4
OK,2020-11-13,264,3
OR,2020-11-13,45,2
PA,2020-11-13,397,4
PR,2020-11-13,50,0
RI,2020-11-13,14,1
SC,2020-11-13,76,1
SD,2020-11-13,74,0
TN,2020-11-13,207,3
TX,2020-11-13,1033,40
UT,2020-11-13,75,2
VA,2020-11-13,131,2
VI,2020-11-13,0,0
VT,2020-11-13,5,0
WA,2020-11-13,55,0
WI,2020-11-13,486,11
WV,2020-11-13,38,0
WY,2020-11-13,25,2
AK,2020-11-12,13,0
AL,2020-11-12,186,0
AR,2020-11-12,141,1
AZ,2020-11-12,168,2
CA,2020-11-12,575,7
CO,2020-11-12,225,6
CT,2020-11-12,106,0
DC,2020-11-12,20,2
DE,2020-11-12,14,3
FL,2020-11-12,501,8
GA,2020-11-12,376,7
HI,2020-11-12,6,0
IA,2020-11-12,217,0
ID,2020-11-12,62,0
IL,2020-11-12,635,6
IN,2020-11-12,279,5
KS,2020-11-12,182,0
KY,2020-11-12,362,2
LA,2020-11-12,102,3
MA,2020-11-12,82,3
MD,2020-11-12,127,2
ME,2020-11-12,8,0
MI,2020-11-12,385,8
MN,2020-11-12,230,5
MO,2020-11-12,312,2
MS,2020-11-12,83,1
MT,2020-11-12,71,1
NC,2020-11-12,184,4
ND,2020-11-12,64,2
NE,2020-11-12,134,1
NH,2020-11-12,10,0
NJ,2020-11-12,280,2
NM,2020-11-12,88,0
NV,2020-11-12,116,5
NY,2020-11-12,446,6
OH,2020-11-12,487,6
OK,2020-11-12,269,1
OR,2020-11-12,34,1
PA,2020-11-12,332,6
PR,2020-11-12,44,1
RI,2020-11-12,15,1
SC,2020-11-12,66,2
SD,2020-11-12,81,2
TN,2020-11-12,262,2
TX,2020-11-12,1021,31
UT,2020-11-12,83,4
VA,2020-11-12,110,2
VI,2020-11-12,0,0
VT,2020-11-12,6,0
WA,2020-11-12,66,0
WI,2020-11-12,506,2
WV,2020-11-12,60,1
WY,2020-11-12,25,1
AK,2020-11-11,15,0
AL,2020-11-11,204,3
AR,2020-11-11,109,4
AZ,2020-11-11,174,1
CA,2020-11-11,475,4
CO,2020-11-11,220,9
CT,2020-11-11,101,2
DC,2020-11-11,21,0
DE,2020-11-11,19,5
FL,2020-11-11,481,6
GA,2020-11-11,426,8
HI,2020-11-11,7,0
IA,2020-11-11,215,3
ID,2020-11-11,61,0
IL,2020-11-11,677,11
IN,2020-11-11,278,7
KS,2020-11-11,191,0
KY,2020-11-11,323,2
LA,2020-11-11,112,3
MA,2020-11-11,99,0
MD,2020-11-11,170,4
ME,2020-11-11,12,0
MI,2020-11-11,351,4
MN,2020-11-11,227,8
MO,2020-11-11,311,1
MS,2020-11-11,110,0
MT,2020-11-11,80,1
NC,2020-11-11,153,2
ND,2020-11-11,60,4
NE,2020-11-11,132,3
NH,2020-11-11,9,0
NJ,2020-11-11,247,3
NM,2020-11-11,206,0
NV,2020-11-11,93,2
NY,2020-11-11,422,3
OH,2020-11-11,479,3
OK,2020-11-11,275,2
OR,2020-11-11,39,2
PA,2020-11-11,318,4
PR,2020-11-11,87,1
RI,2020-11-11,18,0
SC,2020-11-11,64,2
SD,2020-11-11,79,1
TN,2020-11-11,258,6
TX,2020-11-11,1034,21
UT,2020-11-11,88,0
VA,2020-11-11,103,3
VI,2020-11-11,0,0
VT,2020-11-11,5,0
WA,2020-11-11,76,1
WI,2020-11-11,495,4
WV,2020-11-11,41,0
WY,2020-11-11,36,0
AK,2020-11-10,18,0
AL,2020-11-10,194,2
AR,2020-11-10,121,1
AZ,2020-11-10,168,9
CA,2020-11-10,503,5
CO,2020-11-10,224,8
CT,2020-11-10,86,2
DC,2020-11-10,18,3
DE,2020-11-10,10,3
FL,2020-11-10,508,4
GA,2020-11-10,348,14
HI,2020-11-10,10,0
IA,2020-11-10,234,1
ID,2020-11-10,55,1
IL,2020-11-10,647,8
IN,2020-11-10,333,9
KS,2020-11-10,168,1
KY,2020-11-10,296,4
LA,2020-11-10,118,1
MA,2020-11-10,90,1
MD,2020-11-10,129,1
ME,2020-11-10,9,1
MI,2020-11-10,355,5
MN,2020-11-10,220,2
MO,2020-11-10,309,8
MS,2020-11-10,106,0
MT,2020-11-10,71,6
NC,2020-11-10,191,2
ND,2020-11-10,64,2
NE,2020-11-10,140,4
NH,2020-11-10,11,0
NJ,2020-11-10,224,6
NM,2020-11-10,70,0
NV,2020-11-10,94,0
NY,2020-11-10,358,5
OH,2020-11-10,455,4
OK,2020-11-10,272,0
OR,2020-11-10,52,0
PA,2020-11-10,357,6
PR,2020-11-10,54,6
RI,2020-11-10,20,1
SC,2020-11-10,89,2
SD,2020-11-10,75,0
TN,2020-11-10,257,4
TX,2020-11-10,1012,26
UT,2020-11-10,75,2
VA,2020-11-10,117,5
VI,2020-11-10,0,0
VT,2020-11-10,5,0
WA,2020-11-10,65,0
WI,2020-11-10,550,1
WV,2020-11-10,37,1
WY,2020-11-10,26,0
AK,2020-11-09,17,2
AL,2020-11-09,177,4
AR,2020-11-09,102,0
AZ,2020-11-09,159,1
CA,2020-11-09,369,4
CO,2020-11-09,176,8
CT,2020-11-09,78,0
DC,2020-11-09,23,0
DE,2020-11-09,15,3
FL,2020-11-09,414,2
GA,2020-11-09,318,8
HI,2020-11-09,5,0
IA,2020-11-09,170,1
ID,2020-11-09,38,1
IL,2020-11-09,520,10
IN,2020-11-09,286,1
KS,2020-11-09,130,1
KY,2020-11-09,254,0
LA,2020-11-09,91,5
MA,2020-11-09,72,0
MD,2020-11-09,125,1
ME,2020-11-09,7,0
MI,2020-11-09,351,5
MN,2020-11-09,165,2
MO,2020-11-09,294,3
MS,2020-11-09,68,0
MT,2020-11-09,79,1
NC,2020-11-09,173,2
ND,2020-11-09,51,0
NE,2020-11-09,114,3
NH,2020-11-09,5,0
NJ,2020-11-09,195,1
NM,2020-11-09,75,0
NV,2020-11-09,87,2
NY,2020-11-09,198,8
OH,2020-11-09,423,4
OK,2020-11-09,235,2
OR,2020-11-09,42,0
PA,2020-11-09,331,3
PR,2020-11-09,91,2
RI,2020-11-09,13,0
SC,2020-11-09,69,1
SD,2020-11-09,60,1
TN,2020-11-09,212,2
TX,2020-11-09,778,14
UT,2020-11-09,74,2
VA,2020-11-09,88,10
VI,2020-11-09,0,0
VT,2020-11-09,1,0
WA,2020-11-09,50,0
WI,2020-11-09,445,4
WV,2020-11-09,29,0
WY,2020-11-09,33,0
AK,2020-11-08,10,2
AL,2020-11-08,172,3
AR,2020-11-08,97,0
AZ,2020-11-08,162,2
CA,2020-11-08,405,5
CO,2020-11-08,210,5
CT,2020-11-08,65,0
DC,2020-11-08,17,2
DE,2020-11-08,12,5
FL,2020-11-08,395,6
GA,2020-11-08,287,9
HI,2020-11-08,4,0
IA,2020-11-08,153,1
ID,2020-11-08,50,4
IL,2020-11-08,498,3
IN,2020-11-08,271,43
KS,2020-11-08,141,0
KY,2020-11-08,275,1
LA,2020-11-08,84,3
MA,2020-11-08,78,1
MD,2020-11-08,99,4
ME,2020-11-08,5,0
MI,2020-11-08,316,0
MN,2020-11-08,163,3
MO,2020-11-08,289,3
MS,2020-11-08,91,1
MT,2020-11-08,69,6
NC,2020-11-08,116,2
ND,2020-11-08,47,2
NE,2020-11-08,107,3
NH,2020-11-08,7,0
NJ,2020-11-08,171,0
NM,2020-11-08,84,4
NV,2020-11-08,80,3
NY,2020-11-08,288,5
OH,2020-11-08,386,7
OK,2020-11-08,194,2
OR,2020-11-08,32,1
PA,2020-11-08,261,0
PR,2020-11-08,99,2
RI,2020-11-08,20,0
SC,2020-11-08,64,2
SD,2020-11-08,70,1
TN,2020-11-08,191,3
TX,2020-11-08,805,11
UT,2020-11-08,71,3
VA,2020-11-08,98,1
VI,2020-11-08,0,0
VT,2020-11-08,0,0
WA,2020-11-08,59,0
WI,2020-11-08,414,5
WV,2020-11-08,40,0
WY,2020-11-08,28,0
AK,2020-11-07,19,1
AL,2020-11-07,174,4
AR,2020-11-07,111,0
AZ,2020-11-07,172,1
CA,2020-11-07,425,6
CO,2020-11-07,179,1
CT,2020-11-07,84,0
DC,2020-11-07,18,1
DE,2020-11-07,15,1
FL,2020-11-07,469,5
GA,2020-11-07,355,8
HI,2020-11-07,9,0
IA,2020-11-07,192,0
ID,2020-11-07,51,1
IL,2020-11-07,543,9
IN,2020-11-07,294,44
KS,2020-11-07,155,2
KY,2020-11-07,280,0
LA,2020-11-07,84,1
MA,2020-11-07,102,2
MD,2020-11-07,108,3
ME,2020-11-07,9,0
MI,2020-11-07,326,6
MN,2020-11-07,192,4
MO,2020-11-07,289,6
MS,2020-11-07,84,0
MT,2020-11-07,85,3
NC,2020-11-07,149,1
ND,2020-11-07,78,2
NE,2020-11-07,109,2
NH,2020-11-07,9,0
NJ,2020-11-07,180,3
NM,2020-11-07,92,1
NV,2020-11-07,91,1
NY,2020-11-07,293,5
OH,2020-11-07,386,3
OK,2020-11-07,205,1
OR,2020-11-07,36,0
PA,2020-11-07,283,3
PR,2020-11-07,114,0
RI,2020-11-07,20,0
SC,2020-11-07,74,0
SD,2020-11-07,91,0
TN,2020-11-07,178,2
TX,2020-11-07,878,12
UT,2020-11-07,75,5
VA,2020-11-07,96,3
VI,2020-11-07,0,0
VT,2020-11-07,2,0
WA,2020-11-07,56,1
WI,2020-11-07,442,2
WV,2020-11-07,48,0
WY,2020-11-07,28,0
AK,2020-11-06,15,0
AL,2020-11-06,158,1
AR,2020-11-06,124,1
AZ,2020-11-06,151,1
CA,2020-11-06,425,4
CO,2020-11-06,187,1
CT,2020-11-06,65,2
DC,2020-11-06,6,1
DE,2020-11-06,8,2
FL,2020-11-06,408,7
GA,2020-11-06,377,8
HI,2020-11-06,8,0
IA,2020-11-06,174,5
ID,2020-11-06,45,0
IL,2020-11-06,505,14
IN,2020-11-06,252,5
KS,2020-11-06,139,1
KY,2020-11-06,283,1
LA,2020-11-06,99,3
MA,2020-11-06,88,3
MD,2020-11-06,107,2
ME,2020-11-06,8,0
MI,2020-11-06,302,0
MN,2020-11-06,182,7
MO,2020-11-06,329,4
MS,2020-11-06,62,0
MT,2020-11-06,81,0
NC,2020-11-06,161,2
ND,2020-11-06,57,3
NE,2020-11-06,106,3
NH,2020-11-06,5,0
NJ,2020-11-06,169,0
NM,2020-11-06,77,1
NV,2020-11-06,80,2
NY,2020-11-06,312,3
OH,2020-11-06,391,5
OK,2020-11-06,200,6
OR,2020-11-06,30,1
PA,2020-11-06,264,5
PR,2020-11-06,91,0
RI,2020-11-06,27,0
SC,2020-11-06,63,0
SD,2020-11-06,83,0
TN,2020-11-06,183,1
TX,2020-11-06,917,16
UT,2020-11-06,66,0
VA,2020-11-06,103,4
VI,2020-11-06,0,0
VT,2020-11-06,0,0
